Close,High,Low,Open,Volume
NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS
273.54998779296875,273.54998779296875,273.45001220703125,273.45001220703125,26642
273.5899963378906,273.6199951171875,273.5400085449219,273.54998779296875,11221
273.6099853515625,273.6099853515625,273.5400085449219,273.6099853515625,27723
273.54998779296875,273.5799865722656,273.5,273.54998779296875,20063
273.5400085449219,273.6099853515625,273.5,273.5,18349
273.45001220703125,273.5799865722656,273.45001220703125,273.57000732421875,44311
273.6099853515625,273.6499938964844,273.45001220703125,273.45001220703125,18389
273.95001220703125,273.95001220703125,273.5,273.6000061035156,71025
273.95001220703125,273.95001220703125,273.8999938964844,273.94000244140625,24078
274.1499938964844,274.1499938964844,273.94000244140625,273.94000244140625,80608
274.0400085449219,274.1199951171875,274.0199890136719,274.1199951171875,20351
274.0400085449219,274.0400085449219,274.0,274.0400085449219,23501
274.04998779296875,274.04998779296875,274.0299987792969,274.0299987792969,13252
273.92999267578125,274.0199890136719,273.9200134277344,274.010009765625,25899
273.760009765625,273.92999267578125,273.70001220703125,273.92999267578125,15000
273.739990234375,273.760009765625,273.6199951171875,273.75,33728
273.8900146484375,273.8900146484375,273.6700134277344,273.739990234375,7397
273.8999938964844,273.9599914550781,273.79998779296875,273.8900146484375,9837
273.7900085449219,273.8999938964844,273.7900085449219,273.8800048828125,29248
273.75,273.8399963378906,273.75,273.75,12590
273.82000732421875,273.8900146484375,273.70001220703125,273.7900085449219,18147
273.8699951171875,273.8900146484375,273.8500061035156,273.8900146484375,8706
273.8999938964844,273.8999938964844,273.79998779296875,273.8599853515625,16355
273.79998779296875,273.8999938964844,273.79998779296875,273.8699951171875,11762
273.9800109863281,273.9800109863281,273.8900146484375,273.8999938964844,20980
274.1199951171875,274.1199951171875,273.95001220703125,273.989990234375,14982
274.1499938964844,274.1499938964844,274.1199951171875,274.1199951171875,17984
274.25,274.25,274.1400146484375,274.1499938964844,41848
274.239990234375,274.25,274.239990234375,274.25,27599
274.1199951171875,274.260009765625,274.1199951171875,274.239990234375,89499
274.20001220703125,274.20001220703125,274.1000061035156,274.1000061035156,9290
274.20001220703125,274.20001220703125,274.1099853515625,274.19000244140625,9508
274.29998779296875,274.29998779296875,274.1499938964844,274.1499938964844,24686
274.3900146484375,274.3999938964844,274.29998779296875,274.29998779296875,49094
